Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
27/10/1962,1962,8,Ferikoy,Altay,0-0,1-1,2,0,D,0,0
27/10/1962,1962,8,Ankara Demirspor,Fatih Karagumruk,0-1,2-1,3,1,H,0,0
27/10/1962,1962,8,Beykoz 1908,Goztepe,1-0,2-1,3,1,H,0,0
28/10/1962,1962,8,MKE Ankaragucu,Yesildirek,3-0,3-0,3,3,H,0,0
28/10/1962,1962,8,Turk Telekom,Kasimpasa,0-1,0-1,1,-1,A,1,0
28/10/1962,1962,8,Beykoz 1908,Altay,0-0,1-0,1,1,H,0,0
28/10/1962,1962,8,Beyogluspor,Genclerbirligi,0-1,0-1,1,-1,A,0,0
28/10/1962,1962,8,Izmirspor,Fenerbahce,0-1,0-2,2,-2,A,0,0
03/11/1962,1962,9,MKE Ankaragucu,Kasimpasa,1-0,3-0,3,3,H,0,1
03/11/1962,1962,9,Ankara Keciorengucu,Istanbulspor,1-2,6-2,8,4,H,0,0
03/11/1962,1962,9,Ferikoy,Fatih Karagumruk,1-0,2-0,2,2,H,1,1
03/11/1962,1962,9,Galatasaray,Beykoz 1908,0-0,1-1,2,0,D,0,0
04/11/1962,1962,9,MKE Ankaragucu,Istanbulspor,0-0,1-1,2,0,D,0,0
04/11/1962,1962,9,Besiktas,Yesildirek,1-0,3-0,3,3,H,0,1
04/11/1962,1962,9,Ankara Keciorengucu,Kasimpasa,0-0,0-0,0,0,D,0,0
04/11/1962,1962,9,Karsiyaka,Goztepe,0-0,1-0,1,1,H,0,1
04/11/1962,1962,9,Galatasaray,Ferikoy,1-0,3-2,5,1,H,0,0
11/11/1962,1962,10,Altinordu,Ankara Keciorengucu,0-0,3-1,4,2,H,0,0
11/11/1962,1962,10,Fenerbahce,Besiktas,0-0,1-1,2,0,D,0,0
17/11/1962,1962,10,Ankara Demirspor,Karsiyaka,0-0,0-1,1,-1,A,0,0
17/11/1962,1962,10,Turanspor,Goztepe,1-1,1-3,4,-2,A,0,0
